County_Unit,Fire_Name,Start_Date,Controlled_Date,Total_Acres_Burned,Cause,Structures_Destroyed,Structures_Damaged,struc_impact,interv,dur,days
VENTURA/SANTA BARBARA,THOMAS,2017-12-04T00:00:00Z,2018-01-12T00:00:00Z,281893,UNDETERMINED,16,274,290,2017-12-04 UTC--2018-01-12 UTC,3369600s (~5.57 weeks),39
VENTURA,WOOLSEY,2018-11-08T00:00:00Z,2018-11-22T00:00:00Z,96949,UNDETERMINED,1643,364,2007,2018-11-08 UTC--2018-11-22 UTC,1209600s (~2 weeks),14
LOS ANGELES,SAND,2016-07-22T00:00:00Z,2016-08-06T00:00:00Z,41383,UNDETERMINED,116,2,118,2016-07-22 UTC--2016-08-06 UTC,1296000s (~2.14 weeks),15
SANTA BARBARA,REY,2016-08-18T00:00:00Z,2016-09-15T00:00:00Z,32606,UNDETERMINED,5,0,5,2016-08-18 UTC--2016-09-15 UTC,2419200s (~4 weeks),28
ORANGE,HOLY,2018-08-06T00:00:00Z,2018-09-14T00:00:00Z,23025,ARSON,24,18,42,2018-08-06 UTC--2018-09-14 UTC,3369600s (~5.57 weeks),39
SAN DIEGO,BASILONE COMPLEX,2014-05-17T00:00:00Z,2014-05-19T00:00:00Z,21240,UNDETERMINED,0,1,1,2014-05-17 UTC--2014-05-19 UTC,172800s (~2 days),2
SANTA BARBARA,WHITTIER,2017-07-08T00:00:00Z,2017-10-05T00:00:00Z,18430,UNDETERMINED,4,7,11,2017-07-08 UTC--2017-10-05 UTC,7689600s (~12.71 weeks),89
LOS ANGELES,CREEK,2017-12-05T00:00:00Z,2017-12-29T00:00:00Z,15619,UNDETERMINED,123,81,204,2017-12-05 UTC--2017-12-29 UTC,2073600s (~3.43 weeks),24
SANTA BARBARA,CANYON,2016-09-17T00:00:00Z,2016-09-24T00:00:00Z,12742,UNDETERMINED,0,0,0,2016-09-17 UTC--2016-09-24 UTC,604800s (~1 weeks),7
ORANGE,CANYON 2,2017-10-09T00:00:00Z,2017-10-17T00:00:00Z,9217,MISCELLANEOUS,25,55,80,2017-10-09 UTC--2017-10-17 UTC,691200s (~1.14 weeks),8
